Commitizen VERSION HISTORY
0.0.4（2025/7/1 09:46:40）
0.0.3（2025/7/1 09:45:59）
0.0.2（2025/7/1 09:45:47）
0.0.2-alpha.14（2025/7/1 09:44:44）
0.0.2-alpha.16（2025/7/1 09:44:38）
0.0.2-alpha.15（2025/7/1 09:44:25）
0.0.2-alpha.14（2025/7/1 09:44:07）
0.0.2-alpha.13（2025/7/1 09:43:03）
0.0.2-alpha.12（2025/7/1 09:39:24）
0.0.2-alpha.11（2025/7/1 09:38:23）
0.0.2-alpha.10（2025/7/1 09:37:26）
0.0.2-alpha.9（2024/7/26 17:04:46）
0.0.2-alpha.8（2024/7/25 13:54:12）
0.0.2-alpha.7（2024/7/25 13:38:28）
0.0.2-alpha.6（2024/7/25 13:30:01）
0.0.2-alpha.5（2024/7/25 13:27:44）
0.0.2-alpha.4（2024/7/25 13:25:17）
0.0.2-alpha.3（2024/7/25 11:31:40）
0.0.2-alpha.2（2024/7/25 11:30:44）
0.0.2-alpha.1（2024/7/25 11:29:11）
0.0.2-alpha.0（2024/7/25 11:28:36）
